country,hours_per_week,num_logins_last_month,videos_watched_pct,assignments_submitted,discussion_posts,is_working_professional,preferred_device,completed_course
9,9,23,0,7,1,1,2,0
10,0,19,0,1,1,1,1,0
3,4,22,0,2,2,0,0,0
12,5,24,0,3,0,1,0,0
8,9,28,1,6,0,0,2,1
9,3,16,0,9,3,1,2,0
5,8,24,0,6,3,0,6,1
11,4,21,0,8,2,1,1,0
18,2,25,0,0,0,1,5,0
12,4,18,0,5,1,1,5,0
6,1,25,0,7,1,1,1,1
9,3,14,0,1,0,1,2,0
16,4,26,0,4,2,0,2,0
5,3,22,0,4,1,0,2,0
3,8,19,0,0,1,1,2,0
8,5,22,0,2,3,1,2,0
12,1,24,0,2,3,0,5,0
6,5,19,0,2,2,0,1,0
16,6,20,0,6,2,1,2,0
7,7,18,0,3,0,1,4,0
17,4,25,0,5,1,0,2,0
5,5,19,0,3,1,1,2,0
0,3,15,0,8,3,1,1,0
11,3,20,0,7,1,0,1,0
9,4,14,0,5,2,1,5,0
8,2,20,0,4,5,1,2,0
18,5,23,0,6,2,1,2,1
12,1,22,0,3,3,1,2,0
6,5,17,0,0,2,1,1,0
4,7,14,0,1,1,0,2,0
11,2,16,0,0,2,0,6,0
18,6,30,0,0,0,0,6,0
5,5,16,0,3,2,0,0,0
7,3,15,0,4,3,0,2,0
18,7,25,0,6,1,1,1,0
0,6,26,0,3,3,1,5,0
10,6,21,0,4,2,0,4,0
12,4,19,0,4,0,0,2,0
12,3,15,0,7,7,1,2,1
11,3,8,0,1,4,1,5,0
8,4,20,0,2,1,1,1,0
0,4,13,0,4,2,0,2,0
18,4,23,0,1,2,1,1,0
13,5,22,0,3,3,1,5,0
18,7,21,0,7,1,0,1,1
7,3,16,0,9,2,1,5,0
10,10,23,0,2,2,0,2,0
17,0,10,0,0,2,0,2,0
17,1,27,0,6,1,0,2,1
16,1,19,0,7,0,1,2,0
2,6,23,0,2,0,1,5,0
15,2,18,0,0,0,1,1,0
4,7,17,0,5,2,1,2,0
18,4,20,0,6,8,0,2,1
11,5,18,0,1,2,1,1,0
3,3,18,0,8,3,1,2,0
11,5,20,0,7,3,0,4,1
10,5,17,0,5,1,1,3,0
17,5,31,0,3,3,1,1,1
13,6,28,0,1,0,1,1,0
8,3,28,0,8,2,0,2,1
0,6,22,0,5,3,1,4,0
15,0,19,0,9,2,1,5,0
15,0,27,1,3,2,0,2,1
2,8,22,0,2,0,0,1,0
13,5,22,0,1,3,1,2,0
4,2,10,0,1,2,1,5,0
9,6,18,0,7,2,1,0,0
3,6,21,0,8,4,0,1,1
17,8,22,0,3,0,1,2,0
6,2,14,0,9,2,1,1,0
6,4,19,0,5,1,1,1,0
4,8,20,0,9,3,1,2,1
15,5,26,0,7,2,1,5,0
6,7,18,0,9,1,0,4,1
6,3,19,0,2,1,1,2,0
2,5,23,0,0,1,1,1,0
17,2,21,0,3,3,0,5,1
10,0,12,0,8,0,1,2,0
4,6,26,0,7,1,1,2,0
17,7,18,0,5,1,1,1,0
3,3,20,0,4,3,1,6,0
4,4,16,0,8,2,1,2,0
3,7,20,0,6,0,1,1,1
17,9,27,0,0,3,1,1,0
0,0,9,0,2,4,1,0,0
9,2,21,0,2,3,0,1,0
6,6,18,0,2,2,0,5,0
2,4,23,0,1,0,0,6,0
10,9,20,0,2,3,0,1,0
15,0,17,0,7,3,1,2,0
2,3,25,0,4,1,1,5,0
13,0,17,0,0,2,0,0,0
13,2,28,0,5,3,0,0,1
6,3,22,0,6,2,1,1,1
5,8,21,0,1,1,1,2,0
0,7,12,0,5,2,1,2,0
9,6,21,0,2,5,0,3,0
9,7,19,0,7,2,1,2,1
9,5,15,0,9,2,1,2,0
10,0,24,0,4,1,1,6,0
11,7,14,0,1,3,1,4,0
18,3,22,0,8,2,1,6,0
11,8,19,1,9,4,1,2,1
2,3,23,0,9,1,0,2,0
6,7,21,0,9,5,1,2,1
6,1,22,0,2,3,0,2,0
7,6,15,0,4,2,1,1,0
11,9,25,0,1,2,1,2,0
18,3,19,0,7,2,1,4,0
11,7,21,0,0,3,1,1,0
4,4,17,0,8,2,1,6,1
10,4,14,0,3,2,1,5,0
13,1,18,0,1,1,0,2,0
9,3,12,0,3,6,1,1,0
14,5,17,0,0,3,1,0,0
18,6,23,0,8,0,0,1,1
7,7,21,0,5,2,0,6,0
5,2,18,0,2,0,1,1,0
6,4,28,0,6,1,0,1,1
5,4,21,0,0,1,0,0,0
18,4,17,0,3,5,1,5,0
6,5,25,0,3,2,0,4,0
4,6,17,0,3,3,1,6,0
3,4,16,0,0,1,1,4,0
15,3,18,0,8,0,0,0,0
18,5,26,0,7,3,0,5,1
6,6,23,0,8,1,1,2,1
5,3,22,0,1,1,0,2,0
6,3,28,0,0,3,1,5,0
3,4,17,0,8,2,1,2,0
7,1,21,0,2,2,1,2,0
11,2,17,0,5,5,0,1,0
16,4,22,0,0,3,0,2,1
0,3,25,0,3,4,1,0,0
2,3,18,0,3,1,0,1,0
4,11,15,0,0,3,1,4,1
8,4,23,0,7,3,1,1,0
8,9,24,0,1,2,1,1,0
7,9,19,1,5,2,1,2,0
18,6,16,0,0,1,1,1,0
10,8,11,0,0,0,0,4,0
7,1,26,0,8,0,1,2,0
10,0,20,0,2,1,0,1,0
5,3,16,0,7,2,0,4,0
3,10,21,0,7,1,0,2,1
17,4,19,0,3,3,1,2,0
10,3,19,0,0,0,1,2,0
9,7,21,0,3,0,0,2,0
0,0,25,0,2,3,0,5,0
13,4,17,0,7,6,0,4,1
7,3,29,0,3,1,1,2,0
16,0,23,0,1,4,1,2,0
18,2,14,0,8,3,1,2,0
17,2,13,0,7,2,1,2,1
9,1,21,0,1,1,1,2,0
9,6,22,0,6,3,1,2,0
9,2,20,0,4,2,1,4,0
7,1,19,0,5,3,0,2,0
6,1,21,0,7,0,0,1,1
18,5,26,0,8,4,1,2,1
0,4,25,1,6,0,0,0,1
6,4,15,0,1,2,1,2,0
10,5,16,0,8,1,0,2,1
11,4,17,0,5,0,1,1,0
15,6,22,1,3,2,1,0,0
13,3,12,0,5,4,0,2,1
15,6,30,0,3,2,0,1,1
0,5,18,0,5,4,1,0,0
0,2,24,0,3,2,0,2,0
